# r, rho, v, e
6.1086859724789683E+03 1.0367959197733260E+16 -6.7604388908236549E+04 2.8469917873938072E+32
6.1263776312466653E+03 1.0260281019929544E+16 -6.8021992861531544E+04 2.8076363056829679E+32
6.1440692900143331E+03 1.0154088773649116E+16 -6.8440330719151243E+04 2.7689585192257676E+32
6.1617609487820009E+03 1.0049356915217072E+16 -6.8859398709924324E+04 2.7309444723590652E+32
6.1794526075496979E+03 9.9460604260774680E+15 -6.9279193086251587E+04 2.6935805435562616E+32
6.1971442663173657E+03 9.8441748002426160E+15 -6.9699710123948622E+04 2.6568534363157288E+32
6.2148359250850626E+03 9.7436760320820120E+15 -7.0120946122098409E+04 2.6207501703270882E+32
6.2325275838527305E+03 9.6445406044453580E+15 -7.0542897402892660E+04 2.5852580729076534E+32
6.2502192426203983E+03 9.5467454771039840E+15 -7.0965560311485446E+04 2.5503647706979548E+32
6.2679109013880952E+03 9.4502680755056940E+15 -7.1388931215839228E+04 2.5160581816092899E+32
6.2856025601557631E+03 9.3550862798313820E+15 -7.1813006506572783E+04 2.4823265070140824E+32
6.3032942189234600E+03 9.2611784143430940E+15 -7.2237782596816149E+04 2.4491582241705006E+32
6.3209858776911278E+03 9.1685232370185740E+15 -7.2663255922056749E+04 2.4165420788748716E+32
6.3386775364587957E+03 9.0770999294592600E+15 -7.3089422939994925E+04 2.3844670783327607E+32
6.3563691952264926E+03 8.9868880870669960E+15 -7.3516280130395680E+04 2.3529224842426856E+32
6.3740608539941604E+03 8.8978677094805680E+15 -7.3943823994938386E+04 2.3218978060851413E+32
6.3917525127618574E+03 8.8100191912621930E+15 -7.4372051057076766E+04 2.2913827946094213E+32
6.4094441715295252E+03 8.7233233128308220E+15 -7.4800957861887859E+04 2.2613674355132467E+32
6.4271358302971930E+03 8.6377612316304040E+15 -7.5230540975931784E+04 2.2318419433073045E+32
6.4448274890648900E+03 8.5533144735296480E+15 -7.5660796987107402E+04 2.2027967553598773E+32
6.4625191478325578E+03 8.4699649244455630E+15 -7.6091722504505407E+04 2.1742225261153854E+32
6.4802108066002547E+03 8.3876948221823170E+15 -7.6523314158272435E+04 2.1461101214805540E+32
6.4979024653679226E+03 8.3064867484829700E+15 -7.6955568599463324E+04 2.1184506133741218E+32
6.5155941241355904E+03 8.2263236212836280E+15 -7.7388482499906240E+04 2.0912352744333558E+32
6.5332857829032873E+03 8.1471886871678500E+15 -7.7822052552059657E+04 2.0644555728736198E+32
6.5509774416709552E+03 8.0690655140136870E+15 -7.8256275468872438E+04 2.0381031674954675E+32
6.5686691004386521E+03 7.9919379838271310E+15 -7.8691147983649527E+04 2.0121699028343397E+32
6.5863607592063199E+03 7.9157902857594340E+15 -7.9126666849908725E+04 1.9866478044492802E+32
6.6040524179739878E+03 7.8406069092993530E+15 -7.9562828841249982E+04 1.9615290743450329E+32
6.6217440767416847E+03 7.7663726376385730E+15 -7.9999630751216901E+04 1.9368060865243946E+32
6.6394357355093525E+03 7.6930725412040750E+15 -8.0437069393159574E+04 1.9124713826662903E+32
6.6571273942770495E+03 7.6206919713517580E+15 -8.0875141600104515E+04 1.8885176679253037E+32
6.6748190530447173E+03 7.5492165542191450E+15 -8.1313844224617278E+04 1.8649378068496655E+32
6.6925107118123851E+03 7.4786321847301460E+15 -8.1753174138671966E+04 1.8417248194131539E+32
6.7102023705800821E+03 7.4089250207493950E+15 -8.2193128233520969E+04 1.8188718771579707E+32
6.7278940293477499E+03 7.3400814773820930E+15 -8.2633703419557627E+04 1.7963722994451815E+32
6.7455856881154177E+03 7.2720882214129760E+15 -8.3074896626193673E+04 1.7742195498086441E+32
6.7632773468831147E+03 7.2049321658837730E+15 -8.3516704801725180E+04 1.7524072324102963E+32
6.7809690056507825E+03 7.1386004648033920E+15 -8.3959124913203836E+04 1.7309290885930692E+32
6.7986606644184794E+03 7.0730805079868220E+15 -8.4402153946311664E+04 1.7097789935283152E+32
6.8163523231861473E+03 7.0083599160212950E+15 -8.4845788905230336E+04 1.6889509529555633E+32
6.8340439819538151E+03 6.9444265353535000E+15 -8.5290026812518336E+04 1.6684391000109045E+32
6.8517356407215120E+03 6.8812684334968760E+15 -8.5734864708984591E+04 1.6482376921420796E+32
6.8694272994891799E+03 6.8188738943549120E+15 -8.6180299653560098E+04 1.6283411081073962E+32
6.8871189582568768E+03 6.7572314136559570E+15 -8.6626328723181083E+04 1.6087438450555162E+32
6.9048106170245446E+03 6.6963296944995610E+15 -8.7072949012657991E+04 1.5894405156846587E+32
6.9225022757922125E+03 6.6361576430077970E+15 -8.7520157634558942E+04 1.5704258454777173E+32
6.9401939345599094E+03 6.5767043640814710E+15 -8.7967951719087112E+04 1.5516946700118913E+32
6.9578855933275772E+03 6.5179591572575830E+15 -8.8416328413956478E+04 1.5332419323403561E+32
6.9755772520952742E+03 6.4599115126640890E+15 -8.8865284884276945E+04 1.5150626804434408E+32
6.9932689108629420E+03 6.4025511070718650E+15 -8.9314818312429925E+04 1.4971520647480514E+32
7.0109605696306098E+03 6.3458678000384650E+15 -8.9764925897954905E+04 1.4795053357124303E+32
7.0286522283983068E+03 6.2898516301436740E+15 -9.0215604857429615E+04 1.4621178414751046E+32
7.0463438871659746E+03 6.2344928113133270E+15 -9.0666852424350291E+04 1.4449850255657913E+32
7.0640355459336715E+03 6.1797817292282250E+15 -9.1118665849021723E+04 1.4281024246761862E+32
7.0817272047013394E+03 6.1257089378182520E+15 -9.1571042398435849E+04 1.4114656664896234E+32
7.0994188634690072E+03 6.0722651558367780E+15 -9.2023979356161144E+04 1.3950704675670610E+32
7.1171105222367041E+03 6.0194412635151380E+15 -9.2477474022229493E+04 1.3789126312883421E+32
7.1348021810043720E+03 5.9672282992949750E+15 -9.2931523713016519E+04 1.3629880458471014E+32
7.1524938397720689E+03 5.9156174566345180E+15 -9.3386125761139250E+04 1.3472926822971817E+32
7.1701854985397367E+03 5.8646000808900520E+15 -9.3841277515335198E+04 1.3318225926500557E+32
7.1878771573074046E+03 5.8141676662673280E+15 -9.4296976340359441E+04 1.3165739080207798E+32
7.2055688160751015E+03 5.7643118528437790E+15 -9.4753219616869916E+04 1.3015428368219079E+32
7.2232604748427693E+03 5.7150244236584100E+15 -9.5210004741317403E+04 1.2867256630035981E+32
7.2409521336104663E+03 5.6662973018671080E+15 -9.5667329125842050E+04 1.2721187443384471E+32
7.2586437923781341E+03 5.6181225479637200E+15 -9.6125190198159893E+04 1.2577185107503905E+32
7.2763354511458019E+03 5.5704923570626730E+15 -9.6583585401460397E+04 1.2435214626856618E+32
7.2940271099134989E+03 5.5233990562437130E+15 -9.7042512194298586E+04 1.2295241695252639E+32
7.3117187686811667E+03 5.4768351019563010E+15 -9.7501968050486452E+04 1.2157232680375235E+32
7.3294104274488636E+03 5.4307930774813530E+15 -9.7961950458995096E+04 1.2021154608693673E+32
7.3471020862165315E+03 5.3852656904510920E+15 -9.8422456923842023E+04 1.1886975150758940E+32
7.3647937449841993E+03 5.3402457704227290E+15 -9.8883484963995623E+04 1.1754662606863379E+32
7.3824854037518962E+03 5.2957262665071880E+15 -9.9345032113268346E+04 1.1624185893061773E+32
7.4001770625195641E+03 5.2517002450500210E+15 -9.9807095920214429E+04 1.1495514527539431E+32
7.4178687212872610E+03 5.2081608873632950E+15 -1.0026967394803117E+05 1.1368618617317985E+32
7.4355603800549288E+03 5.1651014875080800E+15 -1.0073276377445634E+05 1.1243468845292223E+32
7.4532520388225967E+03 5.1225154501251040E+15 -1.0119636299166922E+05 1.1120036457585375E+32
7.4709436975902936E+03 5.0803962883132890E+15 -1.0166046920619288E+05 1.0998293251216820E+32
7.4886353563579614E+03 5.0387376215548900E+15 -1.0212508003879226E+05 1.0878211562073352E+32
7.5063270151256584E+03 4.9975331736852160E+15 -1.0259019312438009E+05 1.0759764253173228E+32
7.5240186738933262E+03 4.9567767709072840E+15 -1.0305580611191700E+05 1.0642924703219183E+32
7.5417103326609940E+03 4.9164623398488120E+15 -1.0352191666431792E+05 1.0527666795428318E+32
7.5594019914286910E+03 4.8765839056617500E+15 -1.0398852245835550E+05 1.0413964906634872E+32
7.5770936501963588E+03 4.8371355901627970E+15 -1.0445562118456230E+05 1.0301793896657076E+32
7.5947853089640557E+03 4.7981116100133280E+15 -1.0492321054714237E+05 1.0191129097919307E+32
7.6124769677317236E+03 4.7595062749393620E+15 -1.0539128826387049E+05 1.0081946305327213E+32
